Keyword,frequency,category_ids
edition,19,"[24, 20, 23, 27, 1, 10]"
old,19,"[20, 17, 24, 23, 22]"
yankee,19,[10]
farruko,19,[10]
bowl,19,"[17, 24, 26, 10]"
without,19,"[24, 10, 1, 20, 23, 26, 27]"
smith,19,"[25, 24, 17, 23, 22, 10]"
jam,19,"[24, 10, 20, 22]"
comeback,19,"[10, 17, 24, 15]"
ball,19,"[10, 20, 28, 24, 27, 22, 17]"
un,19,"[10, 25]"
need,19,"[10, 22, 20, 25, 24, 23, 27, 1, 26]"
juventus,19,[17]
little,19,"[1, 10, 24, 15]"
american,19,"[25, 10, 24, 22]"
ed,18,"[10, 23, 24]"
introducing,18,"[28, 22, 20, 24]"
welcome,18,"[20, 24, 23, 28, 22, 1]"
went,18,"[17, 20, 23, 24, 22, 25]"
nicki,18,"[17, 10, 22, 24]"
sheeran,18,"[10, 23, 24]"
opening,18,"[10, 17, 24, 1, 20]"
park,18,"[20, 10, 24, 17, 22, 15, 28]"
performs,18,"[10, 24, 25, 23, 29]"
forever,18,"[24, 17, 10, 1, 22, 27]"
minute,18,"[24, 10, 20, 23, 27]"
halloween,18,"[24, 17, 22, 20, 10]"
dad,18,"[23, 24, 22, 20, 10, 1]"
wwe,18,[17]
five,18,"[20, 17, 22, 10]"
hacks,18,"[24, 22, 20, 23, 28]"
sings,18,"[20, 24, 26, 17, 1]"
questions,18,"[24, 22, 25]"
perfect,18,"[17, 10, 26, 22, 24, 20]"
save,18,"[10, 22, 23, 20, 24, 27, 28]"
amazing,18,"[24, 17, 28, 1, 20, 22, 23]"
build,18,"[22, 20, 28, 17, 26, 24]"
harlow,18,"[10, 24, 23]"
away,18,"[10, 20, 23, 17, 22, 24, 25]"
mini,18,"[1, 28, 20, 24, 17]"
another,18,"[24, 20]"
1st,18,"[17, 24, 10, 22]"
pictures,18,"[1, 24, 10]"
kelly,18,"[24, 22, 10]"
white,18,"[22, 20, 25, 24, 26, 10, 28, 1, 23]"
machine,18,"[24, 10, 27, 17, 26, 28]"
flight,18,"[23, 28, 25, 24, 17]"
juice,18,"[10, 26]"
ultra,18,"[28, 10, 20, 26]"
aespa,18,"[10, 24]"
say,18,"[25, 24, 10, 22, 1, 23]"
christian,18,"[10, 1, 17]"
didnt,18,"[24, 22, 20, 1, 10]"
biden,18,"[25, 24, 23]"
rod,18,[10]
gomez,18,"[10, 26, 22, 24]"
cartoon,18,"[1, 24, 20]"
mars,18,"[10, 28, 24, 27]"
nights,17,"[20, 10]"
extended,17,"[23, 10, 1, 24, 17, 22]"
birthday,17,"[10, 22, 24, 20, 26]"
charles,17,"[22, 24, 25, 20, 10, 17]"
preview,17,"[24, 10, 20, 22]"
santa,17,"[10, 24, 20, 17, 22]"
card,17,"[20, 17, 24]"
review,17,"[28, 22, 20, 26, 23]"
team,17,"[20, 24, 26, 10, 17, 19, 22]"
holiday,17,"[10, 24, 22]"
monster,17,"[23, 10, 24, 1, 20, 22]"
free,17,"[20, 23, 22, 17, 24, 1, 10]"
party,17,"[22, 20, 10, 23, 1]"
impossible,17,"[24, 17, 20, 1, 27]"
tiktoks,17,"[24, 20, 27, 23]"
players,17,"[20, 10, 22, 23, 17, 24]"
giant,17,"[22, 24, 17, 20, 28, 26, 25]"
mnet,17,"[20, 24]"
tok,17,[24]
presents,17,"[24, 10, 20, 17, 22]"
ep,17,"[10, 1, 24, 23, 22]"
getting,17,"[27, 10, 22, 23, 20, 25, 17, 24]"
using,17,"[10, 23, 24, 28, 25, 27, 20, 22]"
david,17,"[10, 1, 27, 22, 24, 25]"
used,17,"[20, 1, 24, 25]"
god,17,"[24, 10, 20, 1]"
everyone,17,"[22, 24, 20, 1, 27]"
rodrigo,17,"[10, 24, 26]"
dj,17,[10]
dynamite,17,"[10, 24, 23, 25]"
nbc,17,"[25, 17, 24]"
mom,17,"[28, 22, 20, 23, 15, 24]"
spiderman,17,"[24, 20, 23, 1, 22]"
permission,16,"[10, 23, 24, 29]"
ready,16,"[10, 26, 22, 20, 24, 15]"
building,16,"[20, 24, 23, 27, 26]"
happens,16,"[24, 27, 28, 25, 20, 10, 1, 23]"
del,16,"[10, 17, 1, 23, 25]"
moments,16,"[17, 24, 25, 22, 1, 26]"
summer,16,"[22, 24, 28, 10, 20, 1]"
expensive,16,"[24, 26, 22, 25, 2, 10]"
mask,16,"[24, 23, 28, 22, 27, 1]"
smackdown,16,[17]
ti,16,[10]
cream,16,"[10, 24, 22, 28, 25, 23]"
에스파,16,[10]
styles,16,"[10, 24]"
miss,16,"[10, 24, 27, 28]"
eladio,16,"[24, 10]"
